id,name,src,rgb
AMD-7000-329,FIG,AMD-7000-329.jpg,"(64, 47, 62)"
AMD-7000-333,SEA GLASS,AMD-7000-333.jpg,"(3, 196, 221)"
AMD-7000-335,SHALE,AMD-7000-335.jpg,"(129, 150, 160)"
AMD-7000-336,FOG,AMD-7000-336.jpg,"(205, 208, 206)"
AMD-7000-337,NIAGARA,AMD-7000-337.jpg,"(4, 136, 206)"
AMD-7000-342,CHESTNUT,AMD-7000-342.jpg,"(110, 78, 19)"
AMD-7000-343,VALENTINE,AMD-7000-343.jpg,"(158, 19, 48)"
AMD-7000-344,COBBLESTONE,AMD-7000-344.jpg,"(131, 114, 100)"
AMD-7000-349,NECTARINE,AMD-7000-349.jpg,"(250, 159, 154)"
AMD-7000-351,CANDY PINK,AMD-7000-351.jpg,"(253, 193, 202)"
AMD-7000-362,ICE PEACH,AMD-7000-362.jpg,"(252, 218, 190)"
AMD-7000-364,ASTRAL,AMD-7000-364.jpg,"(5, 47, 97)"
AMD-7000-366,ICE FRAPPE,AMD-7000-366.jpg,"(151, 246, 214)"
AMD-7000-367,PUNCH,AMD-7000-367.jpg,"(242, 61, 101)"
AMD-7000-370,POOL,AMD-7000-370.jpg,"(34, 182, 239)"
AMD-7000-372,BLUEGRASS,AMD-7000-372.jpg,"(8, 71, 57)"
AMD-7000-375,SPROUT,AMD-7000-375.jpg,"(109, 167, 91)"
AMD-7000-376,SHELL,AMD-7000-376.jpg,"(251, 166, 148)"
AMD-7000-381,CANTALOUPE,AMD-7000-381.jpg,"(251, 195, 146)"
AMD-7000-386,ACID LIME,AMD-7000-386.jpg,"(217, 191, 3)"
AMD-7000-387,BLUEPRINT,AMD-7000-387.jpg,"(14, 81, 205)"
AMD-7000-390,BREEZE,AMD-7000-390.jpg,"(132, 203, 248)"
AMD-7000-396,PRINCESS,AMD-7000-396.jpg,"(243, 205, 242)"
AMD-7000-401,FOXGLOVE,AMD-7000-401.jpg,"(103, 3, 54)"
AMD-7000-405,WATERFALL,AMD-7000-405.jpg,"(217, 247, 243)"
AMD-7000-407,CHAMBRAY,AMD-7000-407.jpg,"(214, 239, 253)"
AMD-7000-409,PIMENTO,AMD-7000-409.jpg,"(184, 47, 17)"
AMD-7000-413,NOBLE PURPLE,AMD-7000-413.jpg,"(91, 36, 128)"
