id,name,src,rgb
K001-1042,BRICK,K001-1042.jpg,"(101, 33, 30)"
K001-1064,CARIBBEAN,K001-1064.jpg,"(6, 112, 140)"
K001-1069,CHAMPAGNE,K001-1069.jpg,"(238, 224, 188)"
K001-1083,COFFEE,K001-1083.jpg,"(68, 50, 36)"
K001-1137,EVERGREEN,K001-1137.jpg,"(45, 64, 38)"
K001-1469,RAISIN,K001-1469.jpg,"(65, 29, 46)"
K001-1698,CARAMEL,K001-1698.jpg,"(201, 136, 72)"
K001-1706,CELERY,K001-1706.jpg,"(224, 211, 142)"
K001-24,PETUNIA,K001-24.jpg,"(247, 200, 232)"
K001-110,PEONY,K001-110.jpg,"(251, 194, 200)"
K001-195,EVENING,K001-195.jpg,"(77, 126, 170)"
K001-258,PANSY,K001-258.jpg,"(200, 140, 199)"
K001-277,BLUEBERRY,K001-277.jpg,"(125, 174, 210)"
K001-346,REGATTA,K001-346.jpg,"(30, 86, 136)"
K001-165,IVY,K001-165.jpg,"(126, 123, 64)"
K001-188,HIBISCUS,K001-188.jpg,"(79, 35, 68)"
K001-194,LAKE,K001-194.jpg,"(167, 218, 245)"
K001-196,BLUE JAY,K001-196.jpg,"(113, 152, 217)"
K001-198,PARSLEY,K001-198.jpg,"(186, 171, 120)"
K001-199,CACTUS,K001-199.jpg,"(206, 225, 91)"
K001-275,SABLE,K001-275.jpg,"(109, 84, 54)"
K001-316,TARRAGON,K001-316.jpg,"(182, 187, 118)"
K001-317,PERIDOT,K001-317.jpg,"(121, 139, 34)"
K001-318,GRAPEMIST,K001-318.jpg,"(140, 163, 220)"
K001-1073,CHOCOLATE,K001-1073.jpg,"(76, 59, 43)"
K001-1151,GARNET,K001-1151.jpg,"(103, 32, 41)"
K001-1162,HONEY,K001-1162.jpg,"(207, 180, 109)"
K001-1465,DUSTY PEACH,K001-1465.jpg,"(253, 198, 185)"
K001-21,HONEY DEW,K001-21.jpg,"(218, 233, 140)"
K001-144,SOUR APPLE,K001-144.jpg,"(112, 214, 89)"
K001-145,PEAR,K001-145.jpg,"(151, 232, 135)"
K001-146,GLACIER,K001-146.jpg,"(5, 106, 114)"
K001-147,JUNGLE,K001-147.jpg,"(40, 114, 41)"
K001-149,PAPAYA,K001-149.jpg,"(251, 166, 8)"
K001-150,PAPRIKA,K001-150.jpg,"(175, 50, 26)"
K001-151,CYAN,K001-151.jpg,"(6, 142, 166)"
K001-152,CLOUD,K001-152.jpg,"(199, 231, 250)"
K001-1188,KIWI,K001-1188.jpg,"(32, 187, 60)"
K001-80,MULBERRY,K001-80.jpg,"(102, 41, 107)"
K001-90,PACIFIC,K001-90.jpg,"(5, 93, 164)"
K001-134,THISTLE,K001-134.jpg,"(212, 182, 216)"
K001-135,CLOVER,K001-135.jpg,"(14, 160, 85)"
K001-136,BASIL,K001-136.jpg,"(63, 101, 52)"
K001-138,EARTH,K001-138.jpg,"(126, 90, 51)"
K001-140,NIGHTFALL,K001-140.jpg,"(19, 41, 88)"
K001-141,CARNATION,K001-141.jpg,"(250, 153, 186)"
K001-142,CROCUS,K001-142.jpg,"(133, 83, 154)"
K001-143,PETAL,K001-143.jpg,"(251, 188, 215)"
K001-7,TOMATO,K001-7.jpg,"(221, 36, 28)"
K001-139,LAGOON,K001-139.jpg,"(5, 156, 205)"
K001-29,SPRING,K001-29.jpg,"(153, 197, 138)"
K001-31,PALM,K001-31.jpg,"(76, 113, 57)"
K001-1090,CREAM,K001-1090.jpg,"(252, 228, 188)"
K001-1306,RAFFIA,K001-1306.jpg,"(207, 176, 137)"
K001-25,OCEAN,K001-25.jpg,"(23, 59, 148)"
K001-26,CANARY,K001-26.jpg,"(248, 208, 59)"
K001-27,CORNFLOWER,K001-27.jpg,"(153, 196, 234)"
K001-28,LEAF,K001-28.jpg,"(84, 159, 93)"
K001-1065,CELADON,K001-1065.jpg,"(132, 180, 126)"
K001-1189,LAVENDER,K001-1189.jpg,"(156, 144, 188)"
K001-23,LEMON,K001-23.jpg,"(251, 220, 124)"
K001-32,SURF,K001-32.jpg,"(8, 91, 163)"
K001-1285,PERIWINKLE,K001-1285.jpg,"(116, 167, 223)"
K001-1323,SAND,K001-1323.jpg,"(241, 223, 202)"
K001-1541,DEEP BLUE,K001-1541.jpg,"(47, 67, 131)"
K001-1513,SKY,K001-1513.jpg,"(226, 251, 248)"
K001-1514,ROBIN EGG,K001-1514.jpg,"(141, 235, 248)"
K001-1265,ORANGE,K001-1265.jpg,"(251, 122, 5)"
K001-1362,STONE,K001-1362.jpg,"(185, 166, 137)"
K001-1482,SCHOOL BUS,K001-1482.jpg,"(250, 145, 27)"
K001-1483,SALMON,K001-1483.jpg,"(248, 133, 109)"
K001-1485,DK. VIOLET,K001-1485.jpg,"(121, 40, 109)"
K001-1703,GRASS GREEN,K001-1703.jpg,"(115, 148, 64)"
K001-1016,BERRY,K001-1016.jpg,"(114, 21, 76)"
K001-1055,BUTTER,K001-1055.jpg,"(252, 226, 176)"
K001-1072,CHARTREUSE,K001-1072.jpg,"(186, 209, 52)"
K001-1328,SEAFOAM,K001-1328.jpg,"(189, 225, 199)"
K001-1383,VIOLET,K001-1383.jpg,"(167, 105, 156)"
K001-1478,YARROW,K001-1478.jpg,"(198, 131, 40)"
K001-1480,CHINESE RED,K001-1480.jpg,"(194, 10, 26)"
K001-1481,BANANA,K001-1481.jpg,"(251, 211, 123)"
K001-1677,CURRY,K001-1677.jpg,"(202, 149, 32)"
K001-1045,BROWN,K001-1045.jpg,"(100, 48, 34)"
K001-1048,BRT. PERI,K001-1048.jpg,"(96, 72, 147)"
K001-1049,BRT. PINK,K001-1049.jpg,"(240, 78, 161)"
K001-1054,BURGUNDY,K001-1054.jpg,"(90, 28, 41)"
K001-1056,BUTTERCUP,K001-1056.jpg,"(252, 220, 114)"
K001-1058,CADET,K001-1058.jpg,"(67, 98, 124)"
K001-1060,CANDY BLUE,K001-1060.jpg,"(118, 161, 203)"
K001-1061,CANDY GREEN,K001-1061.jpg,"(44, 217, 190)"
K001-1063,CARDINAL,K001-1063.jpg,"(198, 5, 36)"
K001-1066,CERISE,K001-1066.jpg,"(163, 36, 97)"
K001-1075,CINNAMON,K001-1075.jpg,"(148, 57, 30)"
K001-1080,COAL,K001-1080.jpg,"(91, 89, 90)"
K001-1082,COCOA,K001-1082.jpg,"(110, 32, 20)"
K001-1084,COPEN,K001-1084.jpg,"(68, 117, 173)"
K001-1087,CORAL,K001-1087.jpg,"(245, 74, 64)"
K001-1089,CORN YELLOW,K001-1089.jpg,"(250, 184, 34)"
K001-1091,CRIMSON,K001-1091.jpg,"(121, 23, 36)"
K001-1101,DELFT,K001-1101.jpg,"(80, 127, 157)"
K001-1123,DRESDEN BLUE,K001-1123.jpg,"(101, 136, 168)"
K001-1133,EGGPLANT,K001-1133.jpg,"(89, 34, 65)"
K001-1135,EMERALD,K001-1135.jpg,"(6, 113, 93)"
K001-1136,ESPRESSO,K001-1136.jpg,"(43, 36, 31)"
K001-1141,FERN,K001-1141.jpg,"(40, 185, 100)"
K001-1144,BELLINI,K001-1144.jpg,"(251, 193, 191)"
K001-1154,GOLD,K001-1154.jpg,"(196, 118, 32)"
K001-1161,HOLLY,K001-1161.jpg,"(5, 131, 82)"
K001-1166,HUNTER GREEN,K001-1166.jpg,"(44, 68, 46)"
K001-1171,HYACINTH,K001-1171.jpg,"(81, 108, 181)"
K001-1173,ICE FRAPPE,K001-1173.jpg,"(172, 244, 226)"
K001-1176,ICE PEACH,K001-1176.jpg,"(251, 207, 181)"
K001-1178,INDIGO,K001-1178.jpg,"(16, 38, 49)"
K001-1181,IVORY,K001-1181.jpg,"(235, 228, 210)"
K001-1183,JADE GREEN,K001-1183.jpg,"(5, 152, 153)"
K001-1185,KELLY,K001-1185.jpg,"(10, 79, 50)"
K001-1187,KHAKI,K001-1187.jpg,"(220, 204, 170)"
K001-1191,LILAC,K001-1191.jpg,"(181, 161, 189)"
K001-1214,MAGENTA,K001-1214.jpg,"(154, 83, 149)"
K001-1216,MAIZE,K001-1216.jpg,"(252, 231, 153)"
K001-1218,MARINE,K001-1218.jpg,"(16, 59, 128)"
K001-1223,MED. GREY,K001-1223.jpg,"(118, 116, 129)"
K001-1225,MED. PINK,K001-1225.jpg,"(251, 175, 186)"
K001-1228,MELON,K001-1228.jpg,"(249, 127, 136)"
K001-1229,MERINGUE,K001-1229.jpg,"(252, 233, 174)"
K001-1232,MIDNIGHT,K001-1232.jpg,"(53, 28, 66)"
K001-1234,MINT,K001-1234.jpg,"(202, 250, 196)"
K001-1242,NATURAL,K001-1242.jpg,"(246, 243, 233)"
K001-1256,O.D. GREEN,K001-1256.jpg,"(122, 141, 104)"
K001-1266,ORCHID,K001-1266.jpg,"(235, 203, 224)"
K001-1271,SHELL,K001-1271.jpg,"(252, 230, 225)"
K001-1281,PEACH,K001-1281.jpg,"(251, 185, 159)"
K001-1283,PEARL PINK,K001-1283.jpg,"(253, 229, 228)"
K001-1287,PFD BLEACH WHT,K001-1287.jpg,"(246, 246, 244)"
K001-1291,PINK,K001-1291.jpg,"(251, 193, 195)"
K001-1293,PISTACHIO,K001-1293.jpg,"(123, 196, 122)"
K001-1294,PLUM,K001-1294.jpg,"(149, 70, 99)"
K001-1295,POMEGRANATE,K001-1295.jpg,"(218, 10, 85)"
K001-1301,PURPLE,K001-1301.jpg,"(70, 40, 95)"
K001-1308,RED,K001-1308.jpg,"(213, 13, 38)"
K001-1310,ROSE,K001-1310.jpg,"(200, 133, 127)"
K001-1314,ROYAL,K001-1314.jpg,"(5, 64, 132)"
K001-1321,SAGE,K001-1321.jpg,"(101, 183, 166)"
K001-1369,TAN,K001-1369.jpg,"(219, 201, 165)"
K001-1370,TANGERINE,K001-1370.jpg,"(245, 92, 12)"
K001-1371,TAUPE,K001-1371.jpg,"(163, 132, 103)"
K001-1373,TEAL BLUE,K001-1373.jpg,"(50, 109, 125)"
K001-1376,TURQUOISE,K001-1376.jpg,"(5, 154, 196)"
K001-1389,WINDSOR,K001-1389.jpg,"(36, 65, 79)"
K001-1393,WOODROSE,K001-1393.jpg,"(237, 143, 154)"
